prf,pop,age,zipx,zipy,tob,zip
1,61347,0,0,0,0,0
2,22510,1,0,0,0,0
3,58988,2,0,0,0,0
4,28145,3,0,0,0,0
5,28183,4,0,0,0,0
6,1752,1,0,0,1,0
7,9454,2,0,0,1,0
8,4923,3,0,0,1,0
9,4880,4,0,0,1,0
10,33811,0,79,39,0,1
11,12317,1,79,39,0,1
12,32213,2,79,39,0,1
13,15344,3,79,39,0,1
14,15059,4,79,39,0,1
15,952,1,79,39,1,1
16,5252,2,79,39,1,1
17,2836,3,79,39,1,1
18,2653,4,79,39,1,1
19,15591,0,-26,-43,0,2
20,5694,1,-26,-43,0,2
21,14723,2,-26,-43,0,2
22,7076,3,-26,-43,0,2
23,7119,4,-26,-43,0,2
24,426,1,-26,-43,1,2
25,2452,2,-26,-43,1,2
26,1247,3,-26,-43,1,2
27,1201,4,-26,-43,1,2
28,17585,0,-90,-35,0,3
29,6346,1,-90,-35,0,3
30,16631,2,-90,-35,0,3
31,7908,3,-90,-35,0,3
32,7806,4,-90,-35,0,3
33,473,1,-90,-35,1,3
34,2666,2,-90,-35,1,3
35,1344,3,-90,-35,1,3
36,1370,4,-90,-35,1,3
37,28851,0,66,-15,0,4
38,10434,1,66,-15,0,4
39,26808,2,66,-15,0,4
40,12817,3,66,-15,0,4
41,13000,4,66,-15,0,4
42,803,1,66,-15,1,4
43,4450,2,66,-15,1,4
44,2296,3,66,-15,1,4
45,2245,4,66,-15,1,4
46,11100,0,-28,82,0,5
47,4176,1,-28,82,0,5
48,10764,2,-28,82,0,5
49,5081,3,-28,82,0,5
50,5071,4,-28,82,0,5
51,290,1,-28,82,1,5
52,1744,2,-28,82,1,5
53,891,3,-28,82,1,5
54,902,4,-28,82,1,5
