ann,ser1,ser2,ser3,ser4,ser5,ser6,num_ser,zip
5620378,0,0,1,0,0,0,1,0
4215291,0,0,1,0,0,0,1,1
5921479,0,0,1,0,0,0,1,0
5821120,0,0,1,0,0,0,1,0
5770930,0,0,1,0,0,0,1,0
5369480,0,0,1,0,0,0,1,4
4867660,0,0,1,0,0,0,1,1
4566563,0,0,1,0,0,0,1,1
4466204,0,0,1,0,0,0,1,1
6021838,0,0,1,0,0,0,1,0
4917849,0,0,1,0,0,0,1,0
5620378,0,0,1,0,0,0,1,3
5469849,0,0,1,0,0,0,1,1
163035,0,0,0,0,0,1,1,0
159286,0,0,0,0,0,1,1,0
191144,0,0,0,0,0,1,1,5
181775,0,0,0,0,0,1,1,2
208010,0,0,0,0,0,1,1,0
213632,0,0,0,0,0,1,1,1
206136,0,0,0,0,0,1,1,1
181775,0,0,0,0,0,1,1,4
170530,0,0,0,0,0,1,1,5
183647,0,0,0,0,0,1,1,2
170530,0,0,0,0,0,1,1,0
187396,0,0,0,0,0,1,1,0
189269,0,0,0,0,0,1,1,4
187396,0,0,0,0,0,1,1,1
176153,0,0,0,0,0,1,1,2
181775,0,0,0,0,0,1,1,1
163035,0,0,0,0,0,1,1,2
185522,0,0,0,0,0,1,1,1
149916,0,0,0,0,0,1,1,2
189269,0,0,0,0,0,1,1,4
187396,0,0,0,0,0,1,1,2
159286,0,0,0,0,0,1,1,3
187396,0,0,0,0,0,1,1,0
191144,0,0,0,0,0,1,1,0
198640,0,0,0,0,0,1,1,0
164909,0,0,0,0,0,1,1,0
170530,0,0,0,0,0,1,1,2
189269,0,0,0,0,0,1,1,0
100500,1,0,0,0,0,0,1,2
95210,1,0,0,0,0,0,1,3
120601,1,0,0,0,0,0,1,1
103675,1,0,0,0,0,0,1,2
110022,1,0,0,0,0,0,1,0
111081,1,0,0,0,0,0,1,2
117431,1,0,0,0,0,0,1,5
93099,1,0,0,0,0,0,1,3
119544,1,0,0,0,0,0,1,0
110022,1,0,0,0,0,0,1,3
110022,1,0,0,0,0,0,1,1
95210,1,0,0,0,0,0,1,3
103675,1,0,0,0,0,0,1,3
114257,1,0,0,0,0,0,1,0
124834,1,0,0,0,0,0,1,0
106848,1,0,0,0,0,0,1,0
108966,1,0,0,0,0,0,1,0
115312,1,0,0,0,0,0,1,1
115312,1,0,0,0,0,0,1,4
101556,1,0,0,0,0,0,1,2
103675,1,0,0,0,0,0,1,0
121658,1,0,0,0,0,0,1,0
119544,1,0,0,0,0,0,1,0
115312,1,0,0,0,0,0,1,0
112138,1,0,0,0,0,0,1,3
103675,1,0,0,0,0,0,1,4
112138,1,0,0,0,0,0,1,0
122717,1,0,0,0,0,0,1,0
108966,1,0,0,0,0,0,1,1
111081,1,0,0,0,0,0,1,3
107910,1,0,0,0,0,0,1,0
120601,1,0,0,0,0,0,1,3
114257,1,0,0,0,0,0,1,1
112138,1,0,0,0,0,0,1,0
103675,1,0,0,0,0,0,1,0
111081,1,0,0,0,0,0,1,1
113197,1,0,0,0,0,0,1,3
116369,1,0,0,0,0,0,1,3
95210,1,0,0,0,0,0,1,2
104730,1,0,0,0,0,0,1,3
119544,1,0,0,0,0,0,1,0
124834,1,0,0,0,0,0,1,0
102619,1,0,0,0,0,0,1,5
105791,1,0,0,0,0,0,1,2
97327,1,0,0,0,0,0,1,3
115312,1,0,0,0,0,0,1,0
117431,1,0,0,0,0,0,1,3
107910,1,0,0,0,0,0,1,0
108966,1,0,0,0,0,0,1,0
103675,1,0,0,0,0,0,1,2
119544,1,0,0,0,0,0,1,3
116369,1,0,0,0,0,0,1,0
108966,1,0,0,0,0,0,1,3
99445,1,0,0,0,0,0,1,2
108966,1,0,0,0,0,0,1,3
112138,1,0,0,0,0,0,1,4
104730,1,0,0,0,0,0,1,1
108966,1,0,0,0,0,0,1,1
107910,1,0,0,0,0,0,1,1
108966,1,0,0,0,0,0,1,0
107910,1,0,0,0,0,0,1,1
102619,1,0,0,0,0,0,1,0
111081,1,0,0,0,0,0,1,4
106848,1,0,0,0,0,0,1,2
120601,1,0,0,0,0,0,1,0
114257,1,0,0,0,0,0,1,3
107910,1,0,0,0,0,0,1,4
114257,1,0,0,0,0,0,1,5
120601,1,0,0,0,0,0,1,2
121658,1,0,0,0,0,0,1,0
113197,1,0,0,0,0,0,1,4
94155,1,0,0,0,0,0,1,3
108966,1,0,0,0,0,0,1,3
86746,1,0,0,0,0,0,1,4
115312,1,0,0,0,0,0,1,0
107910,1,0,0,0,0,0,1,4
98387,1,0,0,0,0,0,1,4
86746,1,0,0,0,0,0,1,5
97327,1,0,0,0,0,0,1,0
115312,1,0,0,0,0,0,1,2
103675,1,0,0,0,0,0,1,4
117431,1,0,0,0,0,0,1,1
110022,1,0,0,0,0,0,1,1
116369,1,0,0,0,0,0,1,0
102619,1,0,0,0,0,0,1,0
120601,1,0,0,0,0,0,1,0
108966,1,0,0,0,0,0,1,2
117431,1,0,0,0,0,0,1,0
106848,1,0,0,0,0,0,1,2
119544,1,0,0,0,0,0,1,4
101556,1,0,0,0,0,0,1,4
11461061,1,1,1,1,1,1,6,3
10536284,1,1,1,1,1,1,6,0
12128145,1,1,1,1,1,1,6,0
8674470,1,0,1,1,1,1,5,0
8260365,1,0,1,1,1,1,5,2
11014534,1,1,1,1,1,1,6,2
8572664,1,0,1,1,1,1,5,5
11612620,1,1,1,1,1,1,6,1
10458199,0,1,1,1,1,1,5,5
8478922,0,0,1,1,1,1,4,0
9210201,1,0,1,1,1,1,5,1
11878166,0,1,1,1,1,1,5,2
