population,priceout
70712,6198
26043,6132
67042,8106
32393,11002
32451,15292
1948,8698
11068,11660
5629,16003
5610,22438
31439,6211
11298,6095
29399,8120
14162,11021
14215,15346
866,8643
4805,11680
2520,16032
2453,22519
43483,6219
15740,6061
41018,8079
19753,11041
19748,15454
1217,8591
6737,11619
3504,16062
3411,22681
31577,6182
11540,6017
30493,8033
14631,10925
14411,15346
824,8526
5068,11550
2522,15887
2559,22519
18424,6117
6839,6023
17550,8033
8416,10904
8287,15271
530,8534
2895,11550
1520,15857
1479,22407
27569,6239
10072,6083
26125,8133
12629,11044
12535,15464
770,8625
4313,11699
2272,16066
2213,22697
13273,6275
4927,6129
13024,8160
6133,10971
6112,15357
362,8694
2005,11740
1047,15957
978,22535
15516,6227
5635,6106
14648,8047
7168,10924
7170,15279
389,8659
2369,11571
1233,15886
1284,22419
